basket,group,from,to,cum_pct,annualized
ex_shelter_long,families_kids,2013-12-01,2026-07-01,33.54871420889729,2.3262177016986074
ex_shelter_long,single_other,2013-12-01,2026-07-01,34.319078339763664,2.3730125089388876
ex_shelter_long,married_kids,2013-12-01,2026-07-01,33.51386887888916,2.324095196996767
ex_shelter_long,single_parent,2013-12-01,2026-07-01,33.900306569125526,2.3476054801646162
ex_shelter_long,married_nokids,2013-12-01,2026-07-01,32.64664583129817,2.271105814043284
ex_shelter_long,all_cu,2010-12-01,2026-07-01,41.36646503183188,2.24669400519637
ex_shelter_long,families_kids,2010-12-01,2026-07-01,41.52502572818912,2.254050522112272
ex_shelter_long,single_other,2010-12-01,2026-07-01,42.16952425909237,2.2838732362226555
ex_shelter_long,married_kids,2010-12-01,2026-07-01,41.510237486701484,2.2533647391588474
ex_shelter_long,single_parent,2010-12-01,2026-07-01,41.741463255661124,2.2640798285589625
ex_shelter_long,married_nokids,2010-12-01,2026-07-01,40.030631140148884,2.1844088277917173
pm_all_in,all_cu,2019-12-01,2026-07-01,27.630454782674253,3.7762784843270003
pm_all_in,families_kids,2019-12-01,2026-07-01,27.549672008445114,3.7662960861266637
pm_all_in,single_other,2019-12-01,2026-07-01,28.409886664755835,3.8723193007432544
pm_all_in,married_kids,2019-12-01,2026-07-01,27.336025329551305,3.7398697139897408
pm_all_in,single_parent,2019-12-01,2026-07-01,29.12865825154405,3.9604484438603427
pm_all_in,married_nokids,2019-12-01,2026-07-01,26.607828474837447,3.649514225457695
pm_all_in,all_cu,2020-12-01,2026-07-01,26.347879194915457,4.280472718631567
pm_all_in,families_kids,2020-12-01,2026-07-01,26.327212724806117,4.2774155701060135
pm_all_in,single_other,2020-12-01,2026-07-01,26.957166082901995,4.370419389459279
pm_all_in,married_kids,2020-12-01,2026-07-01,26.133943302537,4.2488057331760976
pm_all_in,single_parent,2020-12-01,2026-07-01,27.75772076175982,4.488065134238162
pm_all_in,married_nokids,2020-12-01,2026-07-01,25.449595551583258,4.147211017807395
pm_all_in,all_cu,2013-12-01,2026-07-01,36.529613531331776,2.5059300522941808
pm_all_in,families_kids,2013-12-01,2026-07-01,35.76171383445504,2.4599829442692567
pm_all_in,single_other,2013-12-01,2026-07-01,38.89015633966093,2.6456978149183463
pm_all_in,married_kids,2013-12-01,2026-07-01,35.32964955489173,2.4340251961633363
pm_all_in,single_parent,2013-12-01,2026-07-01,38.88815551554438,2.645580274891235
pm_all_in,married_nokids,2013-12-01,2026-07-01,34.64122492071156,2.3925076815530577
pm_ex_shelter,all_cu,2019-12-01,2026-07-01,27.40818978374808,3.748800077963943
pm_ex_shelter,families_kids,2019-12-01,2026-07-01,27.480506938822025,3.7577450364321585
pm_ex_shelter,single_other,2019-12-01,2026-07-01,27.892781333966088,3.8086574965357833
pm_ex_shelter,married_kids,2019-12-01,2026-07-01,27.370198664803258,3.7440992051384736
pm_ex_shelter,single_parent,2019-12-01,2026-07-01,28.442662214498824,3.876347028547533
pm_ex_shelter,married_nokids,2019-12-01,2026-07-01,26.594369631051396,3.6478400930564536
pm_ex_shelter,all_cu,2020-12-01,2026-07-01,26.00966227337109,4.2303892931687015
pm_ex_shelter,families_kids,2020-12-01,2026-07-01,26.127517133156687,4.2478538439548075
pm_ex_shelter,single_other,2020-12-01,2026-07-01,26.491559774074002,4.301715753498381
pm_ex_shelter,married_kids,2020-12-01,2026-07-01,26.002194340004657,4.2292821913748835
pm_ex_shelter,single_parent,2020-12-01,2026-07-01,27.209222171693636,4.4075258796236305
pm_ex_shelter,married_nokids,2020-12-01,2026-07-01,25.130706090457867,4.099714900344176
pm_ex_shelter,all_cu,2013-12-01,2026-07-01,33.8657828993193,2.3455076548557052
pm_ex_shelter,families_kids,2013-12-01,2026-07-01,33.75770372324798,2.33893701941037
pm_ex_shelter,single_other,2013-12-01,2026-07-01,34.544858575974935,2.386680435901223
pm_ex_shelter,married_kids,2013-12-01,2026-07-01,33.72714745817065,2.337078475859089
pm_ex_shelter,single_parent,2013-12-01,2026-07-01,34.098655508800405,2.3596484830747055
pm_ex_shelter,married_nokids,2013-12-01,2026-07-01,33.18931571088368,2.3043014290500707
oer_all_in,all_cu,2019-12-01,2026-07-01,27.364530702626144,3.743397771680357
oer_all_in,families_kids,2019-12-01,2026-07-01,27.456467162031274,3.754772017567376
oer_all_in,single_other,2019-12-01,2026-07-01,28.063887754650473,3.8297468547680236
oer_all_in,married_kids,2019-12-01,2026-07-01,27.268015063190965,3.731449502025952
oer_all_in,single_parent,2019-12-01,2026-07-01,28.962703973698332,3.940137667913235
oer_all_in,married_nokids,2019-12-01,2026-07-01,26.307278081816676,3.612093056267973
oer_all_in,all_cu,2020-12-01,2026-07-01,25.531895303238116,4.159452839611921
oer_all_in,families_kids,2020-12-01,2026-07-01,25.695904755710952,4.183829083654023
oer_all_in,single_other,2020-12-01,2026-07-01,26.142619187209483,4.250090802840334
oer_all_in,married_kids,2020-12-01,2026-07-01,25.505267720218928,4.155492793843862
oer_all_in,single_parent,2020-12-01,2026-07-01,27.219538087449745,4.409043253442091
oer_all_in,married_nokids,2020-12-01,2026-07-01,24.489226827373113,4.003869805607541
oer_all_in,all_cu,2013-12-01,2026-07-01,41.162723992170754,2.778205765254449
oer_all_in,families_kids,2013-12-01,2026-07-01,40.38186873282559,2.7328988537619114
oer_all_in,single_other,2013-12-01,2026-07-01,42.86217742516178,2.8760196138775784
oer_all_in,married_kids,2013-12-01,2026-07-01,40.181766505990055,2.7212511520062765
oer_all_in,single_parent,2013-12-01,2026-07-01,41.9784016634706,2.8252874517764814
oer_all_in,married_nokids,2013-12-01,2026-07-01,40.23787308255877,2.7245185892986745
pm_oer_all_in,all_cu,2019-12-01,2026-07-01,29.618593857648023,4.0202816980218214
pm_oer_all_in,families_kids,2019-12-01,2026-07-01,29.42161330177211,3.9962485937290904
pm_oer_all_in,single_other,2019-12-01,2026-07-01,30.107703996290724,4.079823133662286
pm_oer_all_in,married_kids,2019-12-01,2026-07-01,29.320207076877814,3.983864176401797
pm_oer_all_in,single_parent,2019-12-01,2026-07-01,30.245188290647263,4.096525494804193
pm_oer_all_in,married_nokids,2019-12-01,2026-07-01,29.217896486072647,3.971360962697279
