variant,basket,group,method,from,to,cum
deep,oer,10,lasp_lag0,2014-12-01,2019-12-01,9.11325904164373
deep,oer,10,lasp_lag0,2019-12-01,2024-12-01,23.293323808556778
deep,oer,10,lasp_lag0,2019-12-01,2026-07-01,NA
deep,oer,10,tornqvist,2014-12-01,2019-12-01,8.968568200059002
deep,oer,10,tornqvist,2019-12-01,2024-12-01,22.82490547035443
deep,oer,10,tornqvist,2019-12-01,2026-07-01,NA
deep,oer,10,tornqvist_ext,2014-12-01,2019-12-01,8.968568200059002
deep,oer,10,tornqvist_ext,2019-12-01,2024-12-01,22.82490547035443
deep,oer,10,tornqvist_ext,2019-12-01,2026-07-01,29.623513143675883
deep,oer,10,annual_avg_lasp_lag2,2014-07-01,2019-07-01,8.160293355034586
deep,oer,10,annual_avg_tornqvist,2014-07-01,2019-07-01,7.655563115084418
deep,oer,10,annual_avg_lasp_lag2,2019-07-01,2024-07-01,23.378999495687225
deep,oer,10,annual_avg_tornqvist,2019-07-01,2024-07-01,22.932816798604282
deep,oer,01,lasp_lag2,2014-12-01,2019-12-01,8.992482439803528
deep,oer,01,lasp_lag2,2019-12-01,2024-12-01,22.991692039285216
deep,oer,01,lasp_lag2,2019-12-01,2026-07-01,29.926861572296403
deep,oer,01,lasp_lag1,2014-12-01,2019-12-01,8.91762442045383
deep,oer,01,lasp_lag1,2019-12-01,2024-12-01,23.023429748875124
deep,oer,01,lasp_lag1,2019-12-01,2026-07-01,NA
deep,oer,01,lasp_lag0,2014-12-01,2019-12-01,8.534608901795092
deep,oer,01,lasp_lag0,2019-12-01,2024-12-01,22.846174964028165
deep,oer,01,lasp_lag0,2019-12-01,2026-07-01,NA
deep,oer,01,tornqvist,2014-12-01,2019-12-01,8.376529872000372
deep,oer,01,tornqvist,2019-12-01,2024-12-01,22.450224323117784
deep,oer,01,tornqvist,2019-12-01,2026-07-01,NA
deep,oer,01,tornqvist_ext,2014-12-01,2019-12-01,8.376529872000372
deep,oer,01,tornqvist_ext,2019-12-01,2024-12-01,22.450224323117784
deep,oer,01,tornqvist_ext,2019-12-01,2026-07-01,29.27461690659885
deep,oer,01,annual_avg_lasp_lag2,2014-07-01,2019-07-01,7.502811343835214
deep,oer,01,annual_avg_tornqvist,2014-07-01,2019-07-01,7.043093293959157
deep,oer,01,annual_avg_lasp_lag2,2019-07-01,2024-07-01,22.84440876735083
deep,oer,01,annual_avg_tornqvist,2019-07-01,2024-07-01,22.48214400134463
deep,oer,03,lasp_lag2,2014-12-01,2019-12-01,8.941700609791226
deep,oer,03,lasp_lag2,2019-12-01,2024-12-01,22.407467719518603
deep,oer,03,lasp_lag2,2019-12-01,2026-07-01,29.31167804997996
deep,oer,03,lasp_lag1,2014-12-01,2019-12-01,8.85207914485866
deep,oer,03,lasp_lag1,2019-12-01,2024-12-01,22.475585617088136
deep,oer,03,lasp_lag1,2019-12-01,2026-07-01,NA
deep,oer,03,lasp_lag0,2014-12-01,2019-12-01,8.43739714420353
deep,oer,03,lasp_lag0,2019-12-01,2024-12-01,22.181867726727077
deep,oer,03,lasp_lag0,2019-12-01,2026-07-01,NA
deep,oer,03,tornqvist,2014-12-01,2019-12-01,8.31403191398401
deep,oer,03,tornqvist,2019-12-01,2024-12-01,21.875718752270146
deep,oer,03,tornqvist,2019-12-01,2026-07-01,NA
deep,oer,03,tornqvist_ext,2014-12-01,2019-12-01,8.31403191398401
deep,oer,03,tornqvist_ext,2019-12-01,2024-12-01,21.875718752270146
deep,oer,03,tornqvist_ext,2019-12-01,2026-07-01,28.67402927444338
deep,oer,03,annual_avg_lasp_lag2,2014-07-01,2019-07-01,7.5504396742788416
deep,oer,03,annual_avg_tornqvist,2014-07-01,2019-07-01,7.03747802174759
deep,oer,03,annual_avg_lasp_lag2,2019-07-01,2024-07-01,22.258881398671072
deep,oer,03,annual_avg_tornqvist,2019-07-01,2024-07-01,21.867789425617843
deep,exsh,F1,lasp_lag2,2014-12-01,2019-12-01,5.0672272942410945
deep,exsh,F1,lasp_lag2,2019-12-01,2024-12-01,21.036205122232122
deep,exsh,F1,lasp_lag2,2019-12-01,2026-07-01,27.965601557529652
deep,exsh,F1,lasp_lag1,2014-12-01,2019-12-01,5.082440484856732
deep,exsh,F1,lasp_lag1,2019-12-01,2024-12-01,21.51325881811026
deep,exsh,F1,lasp_lag1,2019-12-01,2026-07-01,NA
deep,exsh,F1,lasp_lag0,2014-12-01,2019-12-01,4.673657175174828
deep,exsh,F1,lasp_lag0,2019-12-01,2024-12-01,21.1761271205946
deep,exsh,F1,lasp_lag0,2019-12-01,2026-07-01,NA
deep,exsh,F1,tornqvist,2014-12-01,2019-12-01,4.473997169231381
deep,exsh,F1,tornqvist,2019-12-01,2024-12-01,20.737251669255464
deep,exsh,F1,tornqvist,2019-12-01,2026-07-01,NA
deep,exsh,F1,tornqvist_ext,2014-12-01,2019-12-01,4.473997169231381
deep,exsh,F1,tornqvist_ext,2019-12-01,2024-12-01,20.737251669255464
deep,exsh,F1,tornqvist_ext,2019-12-01,2026-07-01,27.522345696194893
deep,exsh,F1,annual_avg_lasp_lag2,2014-07-01,2019-07-01,3.02968982367946
deep,exsh,F1,annual_avg_tornqvist,2014-07-01,2019-07-01,2.631669997648256
deep,exsh,F1,annual_avg_lasp_lag2,2019-07-01,2024-07-01,21.18745728432414
deep,exsh,F1,annual_avg_tornqvist,2019-07-01,2024-07-01,21.011398029872687
deep,exsh,K1,lasp_lag2,2014-12-01,2019-12-01,4.967513579127747
deep,exsh,K1,lasp_lag2,2019-12-01,2024-12-01,20.872040589570553
