year,cat_id,cat_label,major,families_kids,single_other,gap_pp
2012,08,Other lodging,Housing,1.2114923275245504,0.8353618057092277,0.3761305218153227
2013,08,Other lodging,Housing,1.1990279244347095,0.8934726856575573,0.3055552387771522
2014,08,Other lodging,Housing,1.142791929039942,1.0876485568760612,0.055143372163880766
2015,08,Other lodging,Housing,1.0322627453647244,0.9229029023882362,0.10935984297648815
2016,08,Other lodging,Housing,1.2576631768531192,1.0032710052238445,0.25439217162927474
2017,08,Other lodging,Housing,1.1584140951722466,1.044111308012836,0.11430278715941067
2018,08,Other lodging,Housing,1.2535484904840837,0.9905905716582344,0.2629579188258493
2019,08,Other lodging,Housing,1.2762706032346525,1.1735930347365586,0.10267756849809384
2020,08,Other lodging,Housing,1.2560476772451858,0.7642261931286485,0.49182148411653737
2021,08,Other lodging,Housing,1.461911162050402,1.0434854909786313,0.41842567107177064
2022,08,Other lodging,Housing,1.7724446995179175,1.352623590216535,0.4198211093013824
2023,08,Other lodging,Housing,1.778354047273048,1.3539478173427428,0.4244062299303051
2024,08,Other lodging,Housing,1.5405090890974742,1.3006520932369623,0.2398569958605119
1988,09,Natural gas,Utilities,0.8502280293793766,0.9915882123558576,-0.141360182976481
1989,09,Natural gas,Utilities,0.8310406596368141,0.9849635877822602,-0.15392292814544617
1990,09,Natural gas,Utilities,0.8462184626922418,0.9758388561289986,-0.1296203934367568
1991,09,Natural gas,Utilities,0.7967589899534037,0.9506271152697592,-0.15386812531635552
