basket,pair,from,to,cum_1,cum_2,gap_pp,se_indep,se_corr
ex_shelter_long,mk,2013-12-01,2026-07-01,33.51386887888916,34.319078339763664,-0.8052094608745008,0.35315616968172675,1.05184952346315
ex_shelter_long,fam,2010-12-01,2026-07-01,41.52502572818912,42.16952425909237,-0.6444985309032489,NA,NA
ex_shelter_long,par,2010-12-01,2026-07-01,41.741463255661124,41.510237486701484,0.2312257689596393,NA,NA
ex_shelter_long,mk,2010-12-01,2026-07-01,41.510237486701484,42.16952425909237,-0.6592867723908853,NA,NA
pm_all_in,fam,2019-12-01,2026-07-01,27.549672008445114,28.409886664755835,-0.8602146563107205,0.2513015547184178,0.5772252362664173
pm_all_in,par,2019-12-01,2026-07-01,29.12865825154405,27.336025329551305,1.7926329219927446,0.5065574515656847,1.1280694602530832
pm_all_in,mk,2019-12-01,2026-07-01,27.336025329551305,28.409886664755835,-1.0738613352045299,0.2652385420447306,0.6103461941485646
pm_all_in,fam,2020-12-01,2026-07-01,26.327212724806117,26.957166082901995,-0.6299533580958787,0.241021360659963,0.5098811397228051
pm_all_in,par,2020-12-01,2026-07-01,27.75772076175982,26.133943302537,1.623777459222822,0.4856362520134751,0.9920673720040531
pm_all_in,mk,2020-12-01,2026-07-01,26.133943302537,26.957166082901995,-0.823222780364997,0.2543331943171215,0.5389695996352251
pm_all_in,fam,2013-12-01,2026-07-01,35.76171383445504,38.89015633966093,-3.1284425052058964,0.28871132398345845,0.8647049526467427
pm_all_in,par,2013-12-01,2026-07-01,38.88815551554438,35.32964955489173,3.558505960652653,0.5767984618783099,1.6697716160924012
pm_all_in,mk,2013-12-01,2026-07-01,35.32964955489173,38.89015633966093,-3.5605067847692027,0.30382468040292,0.9094995024662109
pm_ex_shelter,fam,2019-12-01,2026-07-01,27.480506938822025,27.892781333966088,-0.4122743951440633,0.27831269866999075,0.6336026632351739
pm_ex_shelter,par,2019-12-01,2026-07-01,28.442662214498824,27.370198664803258,1.0724635496955663,0.5757341662482651,1.262244363150282
pm_ex_shelter,mk,2019-12-01,2026-07-01,27.370198664803258,27.892781333966088,-0.5225826691628299,0.2913436804284421,0.6641458751565359
pm_ex_shelter,fam,2020-12-01,2026-07-01,26.127517133156687,26.491559774074002,-0.3640426409173152,0.266555606282714,0.5578748558981317
pm_ex_shelter,par,2020-12-01,2026-07-01,27.209222171693636,26.002194340004657,1.207027831688979,0.5513149860458625,1.1047821755864313
pm_ex_shelter,mk,2020-12-01,2026-07-01,26.002194340004657,26.491559774074002,-0.4893654340693452,0.27903845801036403,0.5849058515431458
