year,cat_id,rse_impl,rse_pub,group
2013,22,0.04137093760661858,0.04251184834123223,01
2014,22,0.09043316396473389,0.0958203125,01
2015,22,0.16040875956617967,0.16109965635738832,01
2016,22,0.12313001002594372,0.12054474708171206,01
2017,22,0.051219147924498845,0.05360995850622407,01
2018,22,0.05366718399295703,0.059774774774774775,01
2019,22,0.05854367445838225,0.06725738396624473,01
2020,22,0.0642560793169545,0.06016574585635359,01
2021,22,0.12284123600142502,0.12866171003717472,01
2022,22,0.08867236964180308,0.08904593639575971,01
2023,22,0.05370912166217876,0.0524907063197026,01
2024,22,0.05258774299931421,0.05119047619047619,01
2012,08,0.03297727495353467,0.03496147919876734,01
2013,08,0.03742655296498777,0.039244992295839755,01
2014,08,0.04340387086613878,0.05446478873239437,01
2015,08,0.04958323723891729,0.057383561643835616,01
2016,08,0.03660323608362396,0.04259398496240602,01
2017,08,0.03492985368511193,0.03670076726342711,01
2018,08,0.03131332531380854,0.034116930572472594,01
2019,08,0.03845216880884821,0.040509885535900104,01
2020,08,0.06049627579238593,0.05594182825484765,01
2021,08,0.03658046401694898,0.03803662258392675,01
2022,08,0.037100719880015634,0.04327894327894328,01
2023,08,0.04682133822326432,0.0672097902097902,01
2024,08,0.04045786672871007,0.04089086859688196,01
2012,11,0.04213669040967386,0.04613138686131387,01
2013,11,0.044666826879772636,0.06091549295774648,01
2014,11,0.047881573058700784,0.0643421052631579,01
2015,11,0.053793221182656316,0.07206896551724137,01
2016,11,0.048750093498174135,0.06835294117647059,01
2017,11,0.05704027172924592,0.09000000000000001,01
2018,11,0.05319771023353498,0.07157024793388429,01
2019,11,0.05019178628920823,0.058141592920353986,01
2020,11,0.052044302461089154,0.06828571428571428,01
2021,11,0.06862174712542847,0.08524590163934427,01
2022,11,0.065708070682646,0.0886875,01
2023,11,0.05410109238251361,0.060642857142857144,01
2024,11,0.053949765742917447,0.054,01
2012,06,0.028463367124208026,0.030138768430182133,01
2013,06,0.027630051325998505,0.023045685279187815,01
2014,06,0.030247984939503102,0.025228151585460167,01
2015,06,0.029374102655783954,0.027426981919332405,01
2016,06,0.029414054483291912,0.02695198329853862,01
2017,06,0.03939357570486613,0.035668316831683165,01
2018,06,0.03584255409811251,0.04493834409864944,01
2019,06,0.03404548793506353,0.034662054284193715,01
2020,06,0.03052761624152844,0.02578776645041705,01
2021,06,0.031074411315833654,0.032873661670235546,01
2022,06,0.031069063480391058,0.03484173505275498,01
2023,06,0.02981938421108726,0.03293959215082724,01
2024,06,0.042242621738455485,0.03923444976076555,01
2012,04,0.01687260857573508,0.022200847733941965,01
2013,04,0.018127228703770492,0.02124756335282651,01
2014,04,0.017911408510774954,0.02246867592279038,01
2015,04,0.01956930226111737,0.020080447708989157,01
2016,04,0.017994766424452028,0.018120456905503634,01
2017,04,0.019313445703284752,0.02244716692189893,01
2018,04,0.018142086896487115,0.020518918918918917,01
2019,04,0.0199987538105376,0.017521739130434782,01
2020,04,0.01898753715185469,0.017164078325455773,01
2021,04,0.026293203493379373,0.028007910823444806,01
2022,04,0.021101320755653914,0.023453724604966142,01
2023,04,0.022409244660014104,0.022585152838427946,01
2024,04,0.020973953151688558,0.023074602303894676,01
2012,35,0.019113324500162645,0.019426751592356687,01
2013,35,0.020228683756083447,0.02457236842105263,01
2014,35,0.016897797755639352,0.018651162790697673,01
2015,35,0.019060668363731586,0.01581259150805271,01
2016,35,0.01737933346943367,0.01594059405940594,01
2017,35,0.01859360699441346,0.02,01
2018,35,0.021088777386306778,0.0246875,01
2019,35,0.019064341298570105,0.017608142493638675,01
2020,35,0.025623134403273573,0.025495356037151702,01
2021,35,0.021302643124480082,0.02456549935149157,01
2022,35,0.021991567628533056,0.020969976905311778,01
2023,35,0.02442343161722637,0.02610526315789474,01
2024,35,0.02229036663331693,0.028302658486707565,01
2012,33,0.04023589843475519,0.04469135802469136,01
2013,33,0.039461632948144476,0.04432885906040269,01
2014,33,0.040164446532947436,0.04626182965299684,01
2015,33,0.03807783099247953,0.03663093415007657,01
2016,33,0.06144508659998779,0.061675675675675674,01
2017,33,0.07019627854281454,0.07615650172612198,01
2018,33,0.046543392157696796,0.05268382352941177,01
2019,33,0.04542761675553436,0.048964677222898906,01
2020,33,0.09751583255169413,0.1021303841676368,01
2021,33,0.050622482261610924,0.05685242518059856,01
2022,33,0.03313462894080784,0.03616740088105727,01
2023,33,0.04083149886191153,0.053235572374645226,01
2024,33,0.06271919802054435,0.07081384471468663,01
2012,12,0.008245117692489848,0.010484261501210655,01
2013,12,0.008353370252907343,0.008528717545239968,01
2014,12,0.009104526838921151,0.011041825095057033,01
2015,12,0.00800103561528152,0.009621380846325168,01
2016,12,0.007782290972522847,0.009517819706498952,01
2017,12,0.008473813129941495,0.0128023598820059,01
2018,12,0.00852687699111079,0.01042643923240938,01
2019,12,0.00861909262524273,0.009488999290276792,01
2020,12,0.009255470349999843,0.00945176960444136,01
2021,12,0.009164256582903482,0.011724627395315827,01
2022,12,0.009366176036563622,0.011194968553459118,01
2023,12,0.01102359601211474,0.014354953670705632,01
2024,12,0.010119467459549197,0.01336986301369863,01
2012,26,0.02580610434646179,0.030959409594095943,01
2013,26,0.03345285632080332,0.03,01
2014,26,0.03306635703775823,0.04074010327022375,01
2015,26,0.033761172763346156,0.038305597579425116,01
2016,26,0.02924800725287558,0.033065810593900485,01
2017,26,0.02935505304393935,0.030646067415730338,01
2018,26,0.03294773103160538,0.03312958435207824,01
2019,26,0.03495743466274811,0.037682458386683736,01
2020,26,0.05425772057184693,0.061863117870722434,01
2021,26,0.03770564515811456,0.035221238938053095,01
2022,26,0.03538755901315326,0.04165680473372781,01
2023,26,0.033496759907351195,0.03255474452554744,01
2024,26,0.03628709366073513,0.03043324491600354,01
2012,36,0.020557714500214926,0.020917431192660547,01
2013,36,0.025410737822285114,0.025784313725490195,01
2014,36,0.027662646761317754,0.03495145631067961,01
2015,36,0.04238829265886667,0.045789473684210526,01
2016,36,0.04471310566464592,0.04847457627118644,01
2017,36,0.05017470092266937,0.049545454545454545,01
2018,36,0.04749030721453945,0.060833333333333336,01
2019,36,0.06275708088768384,0.07032608695652173,01
2020,36,0.07037095056585055,0.07149122807017544,01
2021,36,0.045671148933521595,0.05456140350877193,01
2022,36,0.05572935398030677,0.06709401709401709,01
2023,36,0.055042054798502375,0.05478632478632479,01
2024,36,0.07727309411355542,0.07759999999999999,01
2012,07,0.016650743550085185,0.018465160075329567,01
2013,07,0.018285287718133113,0.016624548736462092,01
2014,07,0.017166941166677288,0.014213715229964197,01
2015,07,0.017330319961486138,0.016033666491320358,01
2016,07,0.016189668883240915,0.0158909541511772,01
2017,07,0.01646263689893872,0.01586033117350612,01
2018,07,0.01679615248067905,0.015693104259825844,01
2019,07,0.01776009597293867,0.02017373646209386,01
2020,07,0.01862063395087682,0.014369328493647913,01
2021,07,0.016074753730815065,0.013548249359521777,01
2022,07,0.01765250521740952,0.01591382765531062,01
2023,07,0.018135607561542977,0.01657169459962756,01
2024,07,0.01799967971288103,0.015296819787985865,01
2012,38,0.027593698141777274,0.035150602409638555,01
2013,38,0.029891506856197937,0.03618181818181818,01
2014,38,0.033484428175442435,0.03824451410658307,01
2015,38,0.027213743757533597,0.03263610315186247,01
2016,38,0.0288208020723681,0.032492581602373886,01
2017,38,0.028601745581240765,0.0319578313253012,01
2018,38,0.03322650831185698,0.040028818443804036,01
2019,38,0.033096869958974935,0.03571875,01
2020,38,0.03288344238617778,0.03314285714285714,01
2021,38,0.03351609582302347,0.036158357771260995,01
2022,38,0.042401544567805975,0.05479784366576819,01
2023,38,0.03783328043201911,0.04145945945945946,01
2024,38,0.03941312170625485,0.04471590909090909,01
2012,32,0.015228581670586282,0.015331971399387129,01
2013,32,0.01431546962420838,0.015103734439834026,01
2014,32,0.01885197399713138,0.022921027592768792,01
2015,32,0.012648618770310155,0.01172509225092251,01
2016,32,0.01503239810826607,0.015585253456221198,01
2017,32,0.015780690308284103,0.02085279187817259,01
2018,32,0.015187377911451963,0.01706796116504854,01
2019,32,0.014970070854286525,0.016120000000000002,01
2020,32,0.022867689481657915,0.024156339370829363,01
2021,32,0.01599017412639683,0.018598039215686275,01
2022,32,0.022102872496026577,0.020578431372549017,01
2023,32,0.020105403729130583,0.022974358974358972,01
2024,32,0.032137788884431175,0.03535751295336787,01
2012,13,0.013459796583430179,0.021542857142857145,01
2013,13,0.015419631812802407,0.021827111984282905,01
2014,13,0.015314950033964039,0.023452830188679243,01
2015,13,0.014713498158334688,0.022574074074074073,01
2016,13,0.01553892299883744,0.023796133567662563,01
2017,13,0.015029010262811776,0.02365351629502573,01
2018,13,0.014168638556008186,0.023420195439739416,01
2019,13,0.01655762524516238,0.025271317829457365,01
2020,13,0.01409720691400239,0.02092375366568915,01
2021,13,0.015242398179355496,0.02279136690647482,01
2022,13,0.014516601333340245,0.023004059539918808,01
2023,13,0.01473946588633046,0.020564102564102564,01
2024,13,0.014520472361638897,0.018087167070217916,01
2012,19,0.03301128288472867,0.03190406976744186,01
2013,19,0.03609367524984345,0.03320754716981132,01
2014,19,0.035506814116244415,0.04289634146341464,01
2015,19,0.05443267623727297,0.05361549497847919,01
2016,19,0.03524808044078788,0.03565413533834587,01
2017,19,0.039598073443025184,0.03501440922190202,01
2018,19,0.033024133298201246,0.03390728476821192,01
2019,19,0.04523661435348632,0.04319602272727273,01
2020,19,0.04501947778101111,0.050642201834862385,01
2021,19,0.042035061932075124,0.049681335356600916,01
2022,19,0.041924601289611646,0.06325170068027211,01
2023,19,0.07157091058788351,0.05831536388140162,01
2024,19,0.040411344885966066,0.050040322580645155,01
2013,14,0.057196389536941936,0.05478260869565217,01
2014,14,0.05833556164124298,0.06254098360655738,01
2015,14,0.06093699174667656,0.06391100702576112,01
2016,14,0.05122644708012944,0.05849015317286652,01
2017,14,0.059155447889349844,0.06179954441913439,01
2018,14,0.060851543740500086,0.059385593220338984,01
2019,14,0.052609841817941226,0.056482617586912066,01
2020,14,0.07388673870609631,0.06544668587896253,01
2021,14,0.05976494654406659,0.060079575596816974,01
2022,14,0.06427308393554512,0.07022540983606558,01
2023,14,0.05794305307565377,0.052418181818181815,01
2024,14,0.06596553340022851,0.08060329067641682,01
2012,14,0.05603571935723015,0.04899456521739131,01
2013,23,0.04000424578895076,0.03691837358605931,01
2014,23,0.04134561881200636,0.04475007573462587,01
2015,23,0.03646482089151094,0.04700275206404804,01
2016,23,0.037898080186147036,0.04375894331315355,01
2017,23,0.03562991165834936,0.036036013813517516,01
2018,23,0.039864145403593676,0.046923270440251574,01
2019,23,0.042989375192046556,0.04273782430587164,01
2020,23,0.043202104953274194,0.039409683838160514,01
2021,23,0.04370608839384649,0.051673570836785414,01
2022,23,0.045332348772156424,0.04864101423487544,01
2023,23,0.04610767190103124,0.05223144972016609,01
2024,23,0.049330843423821213,0.045163949784523136,01
2012,23,0.0382901255956884,0.03536760124610592,01
2013,25,0.02121422512657737,0.01855263157894737,01
2014,25,0.021870722357259318,0.026408373117884684,01
2015,25,0.02337784360706012,0.021015965166908564,01
2016,25,0.02002531949493957,0.022486130374479888,01
2017,25,0.03209977568276343,0.031864883884588316,01
2018,25,0.021499921708039462,0.022707240293809026,01
2019,25,0.011569978325980747,0.011776050662061024,01
2020,25,0.012807784353470403,0.013324690290982426,01
2021,25,0.011554827000177655,0.015755517826825126,01
2022,25,0.012958654975437954,0.016056338028169016,01
2023,25,0.013123540561220271,0.017716514954486347,01
2024,25,0.012848766374704826,0.012957679505468379,01
2012,25,0.02002090606006577,0.018911646586345383,01
2013,37,0.048524430637389586,0.04024604569420035,01
2014,37,0.0549390177299348,0.055817152103559864,01
2015,37,0.05671872460433643,0.060479087452471485,01
2016,37,0.057421202508421844,0.052347629796839726,01
2017,37,0.05767224696332621,0.062273641851106634,01
2018,37,0.051549369184238865,0.06117981520966596,01
2019,37,0.057632242990904727,0.05933471933471934,01
2020,37,0.06645954864802979,0.07269079464988198,01
2021,37,0.058436786744441915,0.06035889070146819,01
2022,37,0.053596356625476856,0.05400749063670412,01
2023,37,0.054844989304466005,0.06607487922705314,01
2024,37,0.060622418911934706,0.06297004461440407,01
2012,37,0.0445502336488349,0.04483015741507871,01
2013,39,0.04034792429935101,0.05072868217054263,01
2014,39,0.04684112515155672,0.06065217391304348,01
2015,39,0.04361852882376227,0.052411021814006885,01
2016,39,0.04907592967326512,0.045338894681960375,01
2017,39,0.06416719192242147,0.06707920792079208,01
2018,39,0.05134366368967839,0.05870090634441087,01
2019,39,0.04900438291375232,0.04729699666295885,01
2020,39,0.04332524587930702,0.047728776185226016,01
2021,39,0.06173275671566638,0.0822920892494929,01
2022,39,0.0397392676212313,0.03680872150644202,01
2023,39,0.05062161979963581,0.0570777027027027,01
2024,39,0.061037908536535165,0.06373563218390804,01
2012,39,0.04509218215353224,0.04474065138721352,01
2012,M0,0.01350670549509568,0.016060179977502812,01
2013,M0,0.01377921621024841,0.014720462682456624,01
2014,M0,0.014905392736030828,0.016396270396270396,01
2015,M0,0.010977886647726283,0.013383233532934132,01
2016,M0,0.011422110301748025,0.015843451864700778,01
2017,M0,0.011426183635546296,0.014673295454545454,01
2018,M0,0.012622747458283911,0.014577294685990339,01
2019,M0,0.012186642008183285,0.013475832851916041,01
2020,M0,0.012446610803336615,0.014525787135406606,01
2021,M0,0.012443244365986613,0.015135730007336756,01
2022,M0,0.016083315781972987,0.01716923076923077,01
2023,M0,0.014548542839876534,0.015262217892515018,01
2024,M0,0.013000749028652666,0.016046474100371147,01
2012,05,0.025360753374593693,0.029416513761467887,04
2013,05,0.03450296354514174,0.028752260397830017,04
2014,05,0.03230862166980225,0.03737407407407407,04
2015,05,0.026306359580094953,0.024993026499302653,04
2016,05,0.026365504102490306,0.027139959432048683,04
2017,05,0.028828358350557425,0.028920624377283294,04
2018,05,0.03835328922571672,0.037412979351032445,04
